都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0170102313,北海道,札幌市中央区,愛らんどケアプランセンター,アイランドケアプランセンター,居宅介護支援,北海道札幌市中央区南19条西6丁目3番5号,,43.034401800000000,141.351969899999970,011-531-1338,011-531-1346,2430001029209,エア・ウォーター・ハローサポー卜株式会社,0170102313,平日,,0,http://www.aw-hellosupport.co.jp,,,,
011011,0170103162,北海道,札幌市中央区,株式会社あすも居宅介護支援事業所,カブシキガイシャアスモキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市中央区北１条西１５丁目１番地3大通ハイム606,大通ハイム606,43.059270500000000,141.333675600000000,011-590-0631,011-590-0670,5430001064855,株式会社あすも,0170103162,平日,,39,asumo@sweet.ocn.ne.jp,,,,
011011,0170402754,北海道,札幌市中央区,さくらケアプランセンター,サクラケアプランセンター,居宅介護支援,札幌市中央区南１６条西１９丁目１－３２シティホーム山鼻,シティホーム山鼻,43.036803700000000,141.330193900000040,011-522-8527,011-522-8133,5430001029107,ホクビシティホーム株式会社,0170402754,"平日,祝日",電話受付は24時間可能,20,,,,,
011011,0170512628,北海道,札幌市中央区,介護のまどぐち　つなぐ,カイゴノマドグチ　ツナグ,居宅介護支援,札幌市中央区南19条西12丁目1-35-105,,43.034468200000000,141.342054100000040,011-595-8311,011-595-8391,6430001074218,株式会社えんカウンター,0170512628,平日,緊急時の場合など営業時間外においても、事業所にお電話を頂ければ携帯電話に転送されお電話を受ける事ができます。,132,https://hp.kaipoke.biz/sav/,,,,
011011,0110114501,北海道,札幌市中央区,指定居宅介護支援事業所　えん,シテイキョタクカイゴシエンジギョウショ　エン,居宅介護支援,札幌市中央区宮の森1237番地1,,43.057035700000000,141.292137799999980,011-611-7775,011-611-2228,3430005001633,医療法人社団恵和会,0110114501,平日,,0,http://www.miyanomori-hp.or.jp/,,,,
011011,0110116514,北海道,札幌市中央区,医療法人讃生会居宅介護支援事業所「宮の森」,イリョウホウジン　サンセイカイ　キョタクカイゴシエンジギョウショ　ミヤノモリ,居宅介護支援,札幌市中央区南1条西15丁目1-10パレみやざき2階,パレみやざき2階,43.062227954497814,141.302858903704870,011-641-7077,011-622-7014,7430005001497,医療法人讃生会,0110116514,"平日,土曜日",なし,0,http://www.miyanomori.or.jp,,,,
011011,0170100143,北海道,札幌市中央区,慈啓会介護総合相談センター,ジケイカイカイゴソウゴウソウダンセンター,居宅介護支援,札幌市中央区旭ヶ丘５丁目６番５１号,,43.036870494439880,141.323635112194780,011-520-3676,011-530-1623,3430005000635,社会福祉法人札幌慈啓会,0170100143,平日,,156,http://www.sapporojikeikai.or.jp,,,,
011011,0170100440,北海道,札幌市中央区,ＰＯＰケアセンター,ポップケアセンター,居宅介護支援,北海道札幌市札幌市中央区南3条西2丁目1-1Ｈ＆Ｂプラザ７Ｆ,Ｈ＆Ｂプラザ７Ｆ,43.056959655444980,141.356024299999920,011-219-2146,011-219-2147,2430001053043,株式会社　進幸,0170100440,平日,緊急の場合は常時受け付けし対処します,30,http://care-net.biz/01/sinkou/,,,,
011011,0170100507,北海道,札幌市中央区,たんぽぽの丘介護相談センター,タンポポノオカカイゴソウダンセンター,居宅介護支援,札幌市中央区南８条西２６丁目１番２,,43.045766200000000,141.320580299999960,011-531-6711,011-531-5200,3430005000627,社会福祉法人札幌恵友会,0170100507,平日,,60,http://www.keiyu-kai.org,,,,
011011,0170100515,北海道,札幌市中央区,ベネッセ介護センター札幌,ベネッセカイゴセンターサッポロ,居宅介護支援,北海道札幌市中央区南16条西7-2-20TOKOビル３階,TOKOビル３階,43.038091700000020,141.350328000000000,011-533-4165,011-518-4711,5011001034163,株式会社ベネッセスタイルケア,0170100515,平日,※ただし営業時間外・事業所の休日であっても必要に応じ対応いたします。,0,http://www.benesse-style-care.co.jp,,,,
011011,0170101745,北海道,札幌市中央区,介護まるごと相談室山鼻,カイゴマルゴトソウダンシツヤマハナ,居宅介護支援,札幌市中央区南14条西15丁目２－６,,43.040529630280950,141.336168318775100,011-530-6302,011-530-6303,5430002009173,有限会社時館,0170101745,平日,,0,,,,,
011011,0170102875,北海道,札幌市中央区,社会福祉法人札幌市社会福祉協議会　中央相談センター,シャカイフクシホウジンサッポロシシャカイフクシキョウギカイ　チュウオウソウダンセンター,居宅介護支援,北海道札幌市中央区北１条西１３丁目４ＦＷＤ札幌ビル1階,ＦＷＤ札幌ビル1階,43.060723216614880,141.336409799552940,011-272-3294,011-272-4024,2430005000636,社会福祉法人札幌市社会福祉協議会,0170102875,"平日,土曜日",２４時間の相談電話対応あり,,http://www.sapporo-shakyo.or.jp,,,,
011011,0170102883,北海道,札幌市中央区,社会福祉法人札幌市社会福祉協議会　総合支援センターえがお,シャカイフクシホウジンサッポロシシャカイフクシキョウギカイ　ソウゴウシエンセンターエガオ,居宅介護支援,北海道札幌市中央区北1条西13丁目4ＦＷＤ札幌ビル1階,ＦＷＤ札幌ビル1階,43.060733831811850,141.336349031955020,011-231-3294,011-231-3296,2430005000636,社会福祉法人札幌市社会福祉協議会,0170102883,"平日,土曜日",２４時間の相談電話対応あり,,http://www.sapporo-shakyo.or.jp,,,,
011011,0170103238,北海道,札幌市中央区,幌寧プランニング介護事業所,コウネイプランニングカイゴジギョウショ,居宅介護支援,北海道札幌市中央区南9条西５丁目1番１５号ＳＡＫＵＲＡーＳ９,ＳＡＫＵＲＡーＳ９,43.048142359577380,141.352021428836000,011-252-7228,011-252-7226,9430001065767,幌寧プランニング株式会社,0170103238,平日,,35,http://www.kounei-planning.co.jp,,,,
011011,0170103360,北海道,札幌市中央区,ケアプランセンターモルス,ケアプランセンターモルス,居宅介護支援,北海道札幌市中央区南8条西14丁目3番15号札幌中央ビル4階,札幌中央ビル4階,43.048149415325810,141.336007388148120,011-533-0174,011-533-0173,9430001039498,株式会社モルス,0170103360,平日,,100,http://www.morus.co.jp/,,,,
011011,0170103949,北海道,札幌市中央区,札幌西円山病院在宅ケアセンター,サッポロニシマルヤマビョウインザイタクケアセンター,居宅介護支援,札幌市中央区円山西町4丁目7番25号札幌西円山病院,札幌西円山病院,43.039163685728780,141.302556388607170,011-642-5000,011-642-4128,4430005001450,医療法人渓仁会,0170103949,平日,なし,400,http://www.keijinkai.com/nishimaruyama/,,,,
