除外理由,No,エリア,都内1事業所,全国1事業所,法人種別,都内事業所数,全国事業所数,事業所タイプ(推定),法人番号,法人名,代表者名,管理者名,事業所名,事業所番号,事業所所在地,電話番号,電話番号(整形),電話種別,FAX,ホームページ,利用可能曜日,指定年月日,記録者,架電状況,架電日,架電回数,対応者,見込み度,次回アクション,次回架電予定日,希望時間帯,商談日,商談結果,通話メモ,備考
併設事業所,24,世田谷区,○,○,営利法人,1,1,薬局併設,3010901016462,下宿薬局株式会社,,,下宿薬局,1371208867,東京都世田谷区船橋１－３０－２タイユービル,03-3706-0606,03-3706-0606,固定(23区),03-3706-0609,https://www.tokyo-chouzai.co.jp/,平日,,,,,,,,,,,,,,
併設事業所,103,世田谷区,○,○,営利法人,1,1,医療機関併設,9010401063818,株式会社エルタナ,,,山手クリニック　ケアプランセンター,1371215664,東京都世田谷区代沢2-28-11,03-5431-5230,03-5431-5230,固定(23区),03-5431-5229,,"平日,土曜日",,,,,,,,,,,,,,
電話番号が他社と重複,114,世田谷区,○,○,営利法人,1,1,独立系,6010901034932,株式会社コクーン,,,水車の家　ケアマネジメント,1371213313,東京都世田谷区桜新町二丁目26番14号,03-6413-6595,03-6413-6595,固定(23区),03-6413-6569,,"平日,祝日",,,,,,,,,,,,,,
併設事業所 / 他県にも拠点あり,147,世田谷区,○,,営利法人,1,2,施設併設,3011001039957,株式会社東急イーライフデザイン,,,ホームケア世田谷,1371208891,東京都世田谷区上用賀1-22-23グランクレール馬事公苑,03-5717-7303,03-5717-7303,固定(23区),03-5717-7304,https://homecare.grancreer.com/access/homecare_setagaya.html,"平日,土曜日,日曜日",,,,,,,,,,,,,,
併設事業所,210,中央区,○,○,営利法人,1,1,薬局併設,3010002018607,有限会社川名薬局,,,川名薬局指定居宅介護支援事業所,1370200154,東京都中央区東日本橋3-7-3,03-3661-9146,03-3661-9146,固定(23区),03-3669-9727,,平日,,,,,,,,,,,,,,
他県にも拠点あり,214,中央区,○,,営利法人,1,3,独立系,8030001073563,株式会社アズミコーポレーション,,,アズミメディケアセンター東京,1370200162,東京都中央区新富2-5-10新富ビル2Ｆ,03-3537-2283,03-3537-2283,固定(23区),03-3537-2284,,平日,,,,,,,,,,,,,,
他県にも拠点あり,234,中野区,○,,営利法人,1,2,独立系,9011301013937,ケアプロ在宅医療株式会社,,,ケアプロ在宅支援センター東京,1371405265,東京都中野区中央4-25-14中央ハウスA2,03-6842-2540,03-6842-2540,固定(23区),03-6849-5039,https://carepro-hmc.co.jp/,平日,,,,,,,,,,,,,,
併設事業所 / 他県にも拠点あり,256,中野区,○,,営利法人,1,3,薬局併設,7180301016951,株式会社スギ薬局,,,スギ薬局予防ケアマネジメント鷺宮店,1371406487,東京都中野区鷺宮3-46-12グランドハウス鷺宮２階,080-7559-7406,080-7559-7406,携帯,03-6735-3317,https://www.drug-sugi.co.jp,平日,,,,,,,,,,,,,,
併設事業所,344,北区,○,○,営利法人,1,1,施設併設,5011503002279,株式会社ホームタウン,,,株式会社ホームタウンケアマネ事業所,1371705219,東京都北区上十条2-13-1ガーデニアビル105,03-5963-3520,03-5963-3520,固定(23区),03-5963-3526,http://www.home-town.tokyo,"平日,土曜日,祝日",,,,,,,,,,,,,,
併設事業所,346,北区,○,○,営利法人,1,1,薬局併設,3011501004221,株式会社マエノ薬局,,,マエノ薬局西が丘店,1371700368,東京都北区西が丘1-15-11,03-5924-1881,03-5924-1881,固定(23区),03-5924-1882,,平日,,,,,,,,,,,,,,
他県にも拠点あり,416,台東区,○,,営利法人,1,2,独立系,7030001094123,株式会社メディセプト,,,ケアプランSUN,1370603845,東京都台東区浅草橋1-9-12浅草橋駅前ビル5F,03-5809-1855,03-5809-1855,固定(23区),03-5809-1644,http://sun.medicept.co.jp/,平日,,,,,,,,,,,,,,
併設事業所,509,墨田区,○,○,営利法人,1,1,訪問看護併設,5010601063679,株式会社ふれすか,,,訪問看護ステーションみけ,1370705764,東京都墨田区向島2-10-5第５安井ビル1階,03-3626-2317,03-3626-2317,固定(23区),03-3626-2318,https://fresca-mike.com/,平日,,,,,,,,,,,,,,
併設事業所,558,大田区,○,○,営利法人,1,1,訪問看護併設,7010803003919,合同会社キメジ,,,あらい訪問看護ステーション,1371113489,東京都大田区東糀谷1-13-21,03-6423-2701,03-6423-2701,固定(23区),03-6423-2702,,平日,,,,,,,,,,,,,,
併設事業所,581,大田区,○,○,営利法人,1,1,施設併設,6010802017771,有限会社トラファク,,,レモンホームケアサービス,1371103464,東京都大田区南久が原2-32-14庄野ビル2階,03-5732-3321,03-5732-3321,固定(23区),03-3757-2656,https://lemon-homecare.jp/,平日,,,,,,,,,,,,,,
併設事業所,594,大田区,○,○,営利法人,1,1,施設併設,2010801010839,株式会社　ホームケア井上,,,ホームケア井上,1371100460,東京都大田区鵜の木1-16-24ＨＩビル,03-3750-2077,03-3750-2077,固定(23区),03-5741-5215,http://www.h-c-i.co.jp/,"平日,土曜日,祝日",,,,,,,,,,,,,,
他県にも拠点あり,641,大田区,○,,営利法人,1,2,独立系,4140001084000,株式会社ポラリス,,,ポラリスケアプランセンター羽田萩中,1371113695,東京都大田区萩中３－１４－２０,03-6423-7174,03-6423-7174,固定(23区),03-6423-7160,https://www.polaris.care/office/detail.php?no=MTMx,平日,,,,,,,,,,,,,,
併設事業所,758,新宿区,○,○,営利法人,1,1,訪問看護併設,7011101047518,株式会社　リープ,,,目白訪問看護ステーション,1370403709,東京都新宿区下落合3-17-24,03-5988-4577,03-5988-4577,固定(23区),03-5988-4588,http://www.leap-kango.com,平日,,,,,,,,,,,,,,
他県にも拠点あり,763,新宿区,○,,営利法人,1,25,独立系,3190001021189,株式会社アンビス,,,医心館居宅介護支援事業所高田馬場,1370407338,東京都新宿区下落合2丁目5-13,03-3565-6816,03-3565-6816,固定(23区),03-3565-6817,,平日,,,,,,,,,,,,,,
他県にも拠点あり,777,新宿区,○,,営利法人,1,3,独立系,5010001123496,株式会社ファーマみらい,,,共創みらいケアステーション上落合,1370406025,東京都新宿区上落合2-26-3B1F,03-6279-1555,03-6279-1555,固定(23区),03-6279-1556,https://www.kyosomirai-carest.com/,平日,,,,,,,,,,,,,,
併設事業所,781,新宿区,○,○,営利法人,1,1,施設併設,6011101033114,株式会社三和設計サービス,,,なでしこ園,1370403949,東京都新宿区高田馬場4-22-46ザ・テラス　301号,03-5338-0575,03-5338-0575,固定(23区),03-5338-0576,https://sites.google.com/view/nadeshikoen,平日,,,,,,,,,,,,,,
併設事業所,803,杉並区,○,○,営利法人,1,1,訪問看護併設,8011301021370,エフリオ株式会社,,,エフリオ訪問看護ステーション,1361590316,東京都杉並区阿佐谷北2-14-5大坂やビル3階,03-5356-6130,03-5356-6130,固定(23区),03-5356-6133,https://f-reo.jp,平日,,,,,,,,,,,,,,
併設事業所,813,杉並区,○,○,営利法人,1,1,薬局併設,7011302016404,ハーティ・メディケア有限会社,,,しらさぎ薬局,1371500511,東京都杉並区阿佐谷北6‐31‐7,03-3330-7181,03-3330-7181,固定(23区),03-3330-7182,http://www.sirasagi.org,平日,,,,,,,,,,,,,,
