No,エリア,都内1事業所,全国1事業所,法人種別,都内事業所数,全国事業所数,事業所タイプ(推定),法人番号,法人名,代表者名,管理者名,事業所名,事業所番号,事業所所在地,電話番号,電話番号(整形),FAX,ホームページ,利用可能曜日,指定年月日,記録者,架電状況,架電日,架電回数,対応者,見込み度,次回アクション,次回架電予定日,希望時間帯,通話メモ,備考
2,世田谷区,○,○,営利法人,1,1,独立系,4010901027839,こうもと株式会社,,,たまケア介護支援事業所,1371209287,東京都　世田谷区　北烏山　1-10-10,03-3309-6028,03-3309-6028,,,平日,,,,,,,,,,,,
3,世田谷区,○,○,営利法人,1,1,独立系,6010901020255,やすらぎケア株式会社,,,やすらぎケア下高井戸店,1371206879,東京都世田谷区赤堤5-13-7,03-5329-5350,03-5329-5350,03-5329-5388,https://yasuragi-care.site/,"平日,土曜日",,,,,,,,,,,,
4,世田谷区,○,○,営利法人,1,1,独立系,8010901053253,アルテミス・アポロン株式会社,,,アルテミス　ケア,1371217033,東京都世田谷区千歳台４－２６－２芦花公園スカイハイツ６０３,03-6411-3885,03-6411-3885,03-6411-3884,,平日,,,,,,,,,,,,
6,世田谷区,○,○,営利法人,1,1,独立系,9012401010155,エー・リンク株式会社,,,エー・リンク居宅介護支援事業所,1371209261,東京都世田谷区豪徳寺１－１３－１１ドルチェ豪徳寺２０５,03-6413-5571,03-6413-5571,03-6413-5573,http://www.alinkcorp.co.jp,"平日,土曜日",,,,,,,,,,,,
11,世田谷区,○,○,営利法人,1,1,独立系,4013201002909,ジャパンスタッフ株式会社,,,ジャパンスタッフ,1371217520,東京都世田谷区中町4-28-8ファインヒル上野毛201号,03-6411-6255,03-6411-6255,03-6411-6266,,平日,,,,,,,,,,,,
15,世田谷区,○,○,営利法人,1,1,独立系,1012403002876,デバッガーズ合同会社,,,にじゅうまるケアセンター,1371215037,東京都世田谷区南烏山3-13-6芦花ハウスⅡ108,03-5384-1411,03-5384-1411,03-5384-1411,,平日,,,,,,,,,,,,
16,世田谷区,○,○,営利法人,1,1,独立系,8010901018025,ヘルパーステーション・フランク　株式会社,,,ヘルパーステーション・フランク株式会社,1371208735,東京都世田谷区北烏山１－５６－２２,03-6427-0510,03-6427-0510,03-6427-0520,,平日,,,,,,,,,,,,
17,世田谷区,○,○,営利法人,1,1,独立系,2010902021719,ライフサポートやすらぎ　有限会社,,,ライフサポートやすらぎ,1371215466,東京都世田谷区豪徳寺1-50-16,03-6805-5055,03-6805-5055,03-5787-8885,http://yasuragi-g.jp/,平日,,,,,,,,,,,,
18,世田谷区,○,○,営利法人,1,1,独立系,1010901006267,ルパックス透光株式会社,,,透光介護支援センター,1371201102,東京都世田谷区世田谷１丁目３６番１２号,03-3426-3328,03-3426-3328,03-3706-7036,https://www.lpax.co.jp/,"平日,土曜日",,,,,,,,,,,,
24,世田谷区,○,○,営利法人,1,1,薬局併設,3010901016462,下宿薬局株式会社,,,下宿薬局,1371208867,東京都世田谷区船橋１－３０－２タイユービル,03-3706-0606,03-3706-0606,03-3706-0609,https://www.tokyo-chouzai.co.jp/,平日,,,,,,,,,,,,
