No,エリア,都内1事業所,全国1事業所,法人種別,都内事業所数,全国事業所数,事業所タイプ(推定),法人番号,法人名,代表者名,管理者名,事業所名,事業所番号,事業所所在地,電話番号,電話番号(整形),FAX,ホームページ,利用可能曜日,指定年月日,記録者,架電状況,架電日,架電回数,対応者,見込み度,次回アクション,次回架電予定日,希望時間帯,通話メモ,備考
1,世田谷区,○,○,不明(法人格の記載なし),1,1,独立系,5010903006220,e笑顔,,,e笑顔,1371216290,東京都世田谷区経堂4-4-5103,03-5799-4744,03-5799-4744,03-5799-4733,,平日,,,,,,,,,,,,
25,世田谷区,○,○,不明(法人格の記載なし),1,1,独立系,6010905000815,世田谷ボランティア協会,,,居宅介護支援事業所　ケア相談センター結,1371203025,東京都世田谷区下馬3-22-13サザン三軒茶屋2階,03-5433-2830,03-5433-2830,03-6383-2156,http://www.otagaisama.or.jp/area_yuiren.html,平日,,,,,,,,,,,,
475,墨田区,○,○,不明(法人格の記載なし),1,1,独立系,1010602032785,ゆとりケア,,,ゆとりケア,1370702035,東京都墨田区亀沢1-20-4川浦ビル2階,03-6658-8660,03-6658-8660,03-6658-8661,https://www.yutori-care.jp,平日,,,,,,,,,,,,
548,大田区,○,○,不明(法人格の記載なし),1,1,独立系,8010801015056,ハート,,,ハート,1371102425,東京都大田区羽田４丁目２１番１１号タカツホームズ　１Ｆ,03-5737-9110,03-5737-9110,03-5737-9118,http://www.heart-haneda.net/,"平日,土曜日,祝日",,,,,,,,,,,,
735,新宿区,○,○,不明(法人格の記載なし),1,1,独立系,4011105001861,ルーツ支援センター,,,ルーツ支援センター,1370403196,東京都新宿区若松町17-6ARK　HOUSE　314,03-3200-6802,03-3200-6802,03-3203-1758,,"平日,土曜日",,,,,,,,,,,,
908,杉並区,○,○,不明(法人格の記載なし),1,1,医療機関併設,4011305000093,野﨑クリニック,,,野﨑クリニック訪問看護ステーション,1371500354,東京都杉並区阿佐谷南3-37-13大同ビル2階,03-5335-2730,03-5335-2730,03-3398-6036,https://nozaki-clinic.or.jp/,平日,,,,,,,,,,,,
925,板橋区,○,○,不明(法人格の記載なし),1,1,独立系,4011405000539,北野会,,,ケアプランセンターマイライフ徳丸,1371903509,東京都板橋区徳丸三丁目32番28号,03-3933-0045,03-3933-0045,03-3933-0082,http://kitanokai.com/,平日,,,,,,,,,,,,
950,板橋区,○,○,不明(法人格の記載なし),1,1,独立系,4011405000191,小茂根の郷,,,こもね介護計画センター,1371900018,東京都板橋区小茂根4-11-11東京武蔵野ホーム,03-3959-7447,03-3959-7447,03-3959-7450,http://www.komonenosato.com,"平日,土曜日,日曜日,祝日",,,,,,,,,,,,
1038,江戸川区,○,○,不明(法人格の記載なし),1,1,独立系,5011703002525,スマイルワンケア,,,スマイルワンケア,1372310290,東京都江戸川区中葛西4-3-14エムケー葛西1階,03-6808-2003,03-6808-2003,03-6808-2004,,平日,,,,,,,,,,,,
1405,練馬区,○,○,不明(法人格の記載なし),1,1,独立系,7011601020825,グラッドケア,,,エールケアプランセンター,1372013498,東京都練馬区小竹町1－39－5,03-5946-9920,03-5946-9920,03-5946-9921,https://gladcare.co.jp/aile/,平日,,,,,,,,,,,,
1636,葛飾区,○,○,不明(法人格の記載なし),1,1,独立系,5011805000914,厚生福祉会,,,東四つ木介護サポートセンター,1372202315,東京都葛飾区東四つ木４－４４－２－１０１,03-5670-3533,03-5670-3533,03-5670-3720,http://www.higashiyotsugi.net/index.html,"平日,土曜日",,,,,,,,,,,,
1881,足立区,○,,不明(法人格の記載なし),1,2,独立系,8080005004907,杉の子,,,居宅介護支援センター　中央本町,1372102283,東京都足立区中央本町4－14－20,03-3880-0008,03-3880-0008,03-3886-1600,http://s-suginoko.or.jp/,"平日,土曜日",,,,,,,,,,,,
2205,多摩市,○,○,不明(法人格の記載なし),1,1,独立系,5012403004167,TSMサービス,,,フレンドリーケア,1375002076,東京都多摩市豊ヶ丘1-60-8トウタクサン102,042-400-7141,042-400-7141,042-400-7142,http://hp.kaipoke.biz/s99/,平日,,,,,,,,,,,,
2389,昭島市,○,○,不明(法人格の記載なし),1,1,施設併設,7012805000134,同胞互助会,,,居宅介護支援センター愛全園,1374000063,東京都昭島市田中町2-25-3,042-541-2911,042-541-2911,042-541-1661,https://aizenen.jp/index.html,"平日,土曜日,祝日",,,,,,,,,,,,
2511,武蔵野市,○,○,不明(法人格の記載なし),1,1,独立系,4011005001441,日本アビリティーズ協会,,,吉祥寺本町在宅介護支援センター指定居宅介護支援事業所,1373301447,東京都武蔵野市吉祥寺本町4-20-13吉祥寺本町在宅介護支援センター,0422-23-1213,0422-23-1213,0422-23-1238,https://www.abilities.jp/,平日,,,,,,,,,,,,
2535,清瀬市,○,○,不明(法人格の記載なし),1,1,独立系,4012705000105,信愛報恩会,,,清瀬市在宅介護支援センター信愛,1374700027,東京都清瀬市梅園2-3-15,042-492-1811,042-492-1811,042-433-1851,https://shin-ai.or.jp/sono/,平日,,,,,,,,,,,,
2590,町田市,○,○,不明(法人格の記載なし),1,1,独立系,1012302008173,光介護サービス,,,居宅介護支援光介護サービス,1373202496,東京都町田市金森２丁目１２-１３2F,042-732-6002,042-732-6002,042-732-6003,https://hikarikaigoservice.com/,"平日,土曜日,祝日",,,,,,,,,,,,
2604,町田市,○,,不明(法人格の記載なし),1,2,独立系,5420005006061,天寿園会,,,居宅介護支援センター椿,1373204542,東京都町田市相原町2311-1,042-700-1188,042-700-1188,042-700-2777,http://www.tenjuen.net/,"平日,土曜日,祝日",,,,,,,,,,,,
2605,町田市,○,○,不明(法人格の記載なし),1,1,医療機関併設,5012305001774,天恵会,,,敬愛クリニック在宅相談室,1373206521,東京都町田市忠生四丁目5番地10ウエルストンアネックス2階,042－794－9790,042-794-9790,042－794－9899,http://keiai-med.com,平日,,,,,,,,,,,,
